id,asset_name,lane,artifact_type,public_url,status,maintainer_category,reuse_instructions,suggested_reproduction_task,duplicate_risk_notes,evidence_standard
ART-01,Guardrail Replay Pack,agent_reliability,test_fixtures,https://gist.github.com/0xzoz/503e9b2cc787bbf7ee5c6534002ca258,shipped,community_contributor,"Clone gist. Run pytest test_guardrails.py (59 tests). Add fixtures to cases.json following existing schema.","Run 59 tests locally. Add 3 new fixtures for untested category (e.g. rate limiting).","Do NOT rebuild RAG/prompt-injection fixtures from scratch. Extend this pack.",pytest_pass_count + fixture_schema_validation
ART-02,Off-Grid Scope Regression Fixtures,task_generation_quality,test_fixtures,https://github.com/P-U-C/pft-validator/tree/main/alpha/scope-regression-fixtures,shipped,community_contributor,"Import fixtures.json into classifier harness. Use expected-results.json for pass/fail. Validate against fixtures.schema.json.","Build classifier that passes all 20 fixtures. Report boundary pair accuracy.","Covers deprecated/duplicate/stale/adversarial/policy. Check overlap before creating task quality fixtures.",json_schema_validation + classifier_accuracy
ART-03,Alpha Brief Schema,market_intelligence,json_schema,https://github.com/P-U-C/pft-validator/tree/main/alpha/alpha-brief-schema,shipped,community_contributor,"4 brief types: event_trade structural_thesis strategy_observation intelligence_signal. Include machine_checks and agent_actionability_path.","Write new alpha brief for current market event. Validate against schema.","Do NOT create new alpha format without referencing this schema. Extend brief_type enum.",schema_validation + two_filled_examples
ART-04,LLM Convergence Scanner,alpha_tooling,dashboard_and_pipeline,https://pft.permanentupperclass.com/scanner/,live,community_contributor,"Add tickers to THEMES dict. Scoring: convergence × (1/IV) × log(liquidity). Requires IBKR Gateway or Yahoo Finance fallback.","Run scanner against 5 new tickers. Verify scoring matches formula.","Do NOT build separate options screener. Extend this scanner's theme list.",scan_output_json + scoring_verification
ART-05,Network Intelligence Dashboard (Lens),network_analytics,dashboard,https://pft.permanentupperclass.com/lens/,live,community_contributor,"Consumes graph.json audit.json health.json subs.json. Add panels via export scripts in pf-scout-bot/deploy/.","Verify hustlers section shows correct first-tx ages. Cross-ref 3 addresses.","Do NOT build separate network dashboard. Extend this one.",data_freshness + ledger_crosscheck
ART-06,The Hive Herald,network_intelligence,daily_publication,https://pft.permanentupperclass.com/herald/,live,community_contributor,"Daily cron export from chain-index.db. Sections: Pulse Flow Airdrops Watch Movers Deep Cut. JSON at pft-validator/lens/herald.json.","Verify one day's data against raw ledger queries.","Do NOT build separate daily network report. Contribute sections or verify data.",data_accuracy + ledger_crosscheck
ART-07,SUBS Protocol,subscription_infrastructure,bot_and_marketplace,https://pft.permanentupperclass.com/subs/,live,community_contributor,"On-chain subscription via amount-matching. 2.5% protocol fee. Registry at pft-validator/lens/subs.json.","Verify subscriber counts. Cross-ref 2 subscriptions against ledger.","Do NOT build separate payment subscription system. Extend tiers.",subscriber_verification + tx_crosscheck
ART-08,Retail Explainer Pack,growth_content,content_artifact,https://github.com/P-U-C/pft-validator/tree/main/alpha/retail-explainer,shipped,community_contributor,"Human-first explainer. 3 tiers. 10 social posts. 20 reply lines. PFT vs XRP table. Reuse posts directly.","Post 3 social items in crypto community. Report engagement.","Do NOT write new 'what is PFT' from scratch. Adapt this for specific audiences.",content_review + audience_adaptation
ART-09,Adoption Metrics Snapshot,network_analytics,metrics_snapshot,https://github.com/P-U-C/pft-validator/tree/main/alpha/adoption-metrics,shipped,community_contributor,"Weekly template + JSON sidecar. Sources: explorer (validators) GitHub (repos) ledger (contributors). Includes confidence tiers.","Update with current week data. Verify validator count against live explorer.","Do NOT create parallel metrics. Update this snapshot.",source_url_per_metric + json_validation
ART-10,Awesome Post Fiat,community_reference,curated_index,https://github.com/P-U-C/awesome-postfiat,live,community_contributor,"Add projects to community/projects.md. Update metrics in metrics/. See CONTRIBUTING.md.","Verify all README links resolve. Add one missing project. Submit PR.","This IS the community index. Do NOT create separate resources repo.",link_verification + pr_submission
ART-11,Task Node Documentation,onboarding,documentation_site,https://agtico.github.io/tasknode/,live,ecosystem_developer,"GitHub Pages onboarding guide. Fork edit and PR to contribute.","Follow guide end-to-end on fresh machine. Document unclear steps.","Do NOT write new Task Node guide. Fix this one.",walkthrough_completion + issue_report
ART-12,pft_indexing (Encrypted Artifact Publishing),publication_infrastructure,library_and_cli,https://github.com/agtico/pft_indexing,live,ecosystem_developer,"X25519/XChaCha20 encryption IPFS pinning pf.ptr:v4 pointers. CLI: pft-index validate/digest/encrypt. Schema: pft.index.snapshot.v1.","Create minimal snapshot. Validate and compute digest. Document workflow.","Do NOT build encrypted publishing from scratch. Extend with new schemas.",schema_validation + digest_computation
ART-13,LLM Convergence Signal Corpus,market_intelligence,research_dataset,https://github.com/P-U-C/puc-trading/tree/main/corpus,shipped,community_contributor,"Real captures from GPT Gemini Grok. Themes: quantum GLP-1 nuclear AI infra. Use as seed for convergence scoring.","Run same queries against current LLMs. Compare to corpus. Document shifts.","Do NOT create new LLM picks dataset. Add captures here.",capture_provenance + timestamp_verification
ART-14,Reviewer Queue Triage Reducer,task_generation_quality,deterministic_reducer,https://github.com/P-U-C/pft-validator/tree/main/alpha/reviewer-queue-triage,shipped,community_contributor,"34 tests. Classifies by urgency age and load. Import reducer logic for any review queue.","Run 34 tests. Feed 5 synthetic items through reducer. Verify ordering.","Do NOT build separate review prioritization. Extend this reducer.",test_pass_count + io_verification
ART-15,Evidence-Weighted Reward Cap Reducer,reward_mechanism,deterministic_reducer,https://github.com/P-U-C/pft-validator/tree/main/alpha/reward-cap-reducer,shipped,community_contributor,"35 tests. Three proof layers: existence relevance completion. Caps rewards by evidence quality.","Run 35 tests. Create 3 synthetic submissions. Verify cap adjustment.","Do NOT build separate reward scaling. This defines canonical proof model.",test_pass_count + tier_verification
ART-16,Stalled Task Recovery Triage,task_lifecycle,analysis_and_recommendations,https://github.com/P-U-C/pft-validator/tree/main/alpha/stalled-task-triage,shipped,community_contributor,"Categories: scope creep missing prereqs external dependency unclear criteria. Use taxonomy to pre-screen tasks.","Apply taxonomy to 5 open tasks. Classify risk and suggest mitigations.","Do NOT create new why-tasks-fail analysis. Taxonomy is established.",pattern_classification + mitigations
ART-17,Task Friction Triage,task_lifecycle,analysis_and_recommendations,https://github.com/P-U-C/pft-validator/tree/main/alpha/task-friction-triage,shipped,community_contributor,"Maps friction from issuance to reward. Includes peer feedback. Identifies where new contributors get stuck.","Walk new contributor through first task. Compare friction to predictions.","Overlaps stalled-task-triage (UX focus vs structural). Check both before onboarding tasks.",friction_identification + observation
ART-18,Herald v2 Export Converter,publication_infrastructure,pipeline_script,project-scoped://pf-scout-bot/deploy/herald-v2-export.py,in_development,community_contributor,"Converts Herald JSON to pft.index.snapshot.v1. 6 sections as positions. Pending pft.intelligence.v1 schema.","Run converter on sample Herald JSON. Verify schema compliance. Document gaps.","Active dev. Do NOT build separate Herald-to-IPFS pipeline.",schema_validation + field_coverage
