task_id,title,pft,category
task_715ea1e,Draft Duplicate Payment Prevention Specification for V3,20000,process_spec
task_fdbeddf,Define Duplicate Reward Payment Remediation and Prevention Plan,25000,process_spec
task_9dbaa6f,Map Wallet Identity Drift and Propose Deterministic Binding Fix,15000,process_spec
task_2fb44ea,Create Sybil Wallet Blocklist Deployment Patch,35000,decisioning
task_cc79625,Build Automated Sybil Blocklist Patch Generator,35000,decisioning
task_9c27a44,Build Deployable Sybil Ban Configuration Patch,35000,decisioning
task_3101ea5,Build Sybil Auto-Quarantine API Middleware,35000,decisioning
task_2ec03c1,Build XRPL Sybil Fund Flow Graph Script,35000,detection
task_2285dae,Build XRPL Sybil Contagion Risk Script,35000,detection
task_9647b8e,Build Sybil Behavioral Fingerprinting Script,24500,detection
task_743f3d4,Build Wallet Event Sequence Hashing Script,24000,detection
task_0f2eb7e,Build Validator Tier Calibration Analysis Script,30000,detection
task_537fcfb,Build Sybil Reward Clawback Execution Script,35000,execution
task_20b7f7d,Build Reward Adjustment Execution Script,35000,execution
task_e90fac4,Prepare Discord Reward Integrity Investigation Message,18000,comms
task_e4b9ac0,Draft Discord Clawback Execution Message,25000,comms
